"name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"ACTB",0.0220693551254198,0.804724363833301,FALSE,0.839363096082413,0,TRUE
"ACTN4",0.0316219900492374,0.971175040948274,FALSE,0.745868896472578,3.40436199680606e-06,TRUE
"ACTR3",0.315690746642886,0.235361200304934,FALSE,0.698227270023325,7.89730221914075e-94,TRUE
"ADAM10",0.151029829807627,0.853540712737843,FALSE,0.507641253091726,1.39397843504879e-29,TRUE
"ADAR",0.0676005776498151,0.893478875303855,FALSE,0.915492695280453,2.45408746606782e-135,TRUE
"AGPAT3",0.176826061336703,0.487743838266017,FALSE,0.596592719119036,1.32947994991376e-22,TRUE
"ANPEP",0.158778596877488,0.722752778945739,FALSE,1.12601735956876,1.57565045990958e-50,TRUE
"ANXA2",0.101674259689502,0.839650533155896,FALSE,1.13788440690353,1.45172693568074e-259,TRUE
"ANXA6",0.141396485055102,0.732384689455606,FALSE,1.3360310449561,7.79506186509061e-46,TRUE
"APLP2",0.012576422033098,0.78268729732038,FALSE,0.539839466696974,1.73451272932487e-136,TRUE
"APOL6",0.0700738940856617,0.947664408612174,FALSE,0.663454737041553,2.2412086494533e-29,TRUE
"ARPC5",0.0105591180867295,0.917459242347063,FALSE,0.527891093352593,1.73498254169684e-75,TRUE
"ATG3",0.0591691136826119,0.987445471408616,FALSE,0.662779080527571,3.96579812951355e-25,TRUE
"ATP2A2",0.182730726530692,0.790683197967596,FALSE,0.570873523079752,7.46777173238408e-07,TRUE
"ATP6V1A",0.275450645565037,0.84927329358055,FALSE,0.544216948371512,1.64992999985703e-10,TRUE
"B4GALT5",0.0658608397803141,0.712493379798185,FALSE,1.73567894240437,2.55218525024104e-08,TRUE
"BAZ1B",0.183946801403581,0.656622088793456,FALSE,0.759319138726116,3.9377489844126e-08,TRUE
"BAZ2B",0.167516993048235,0.504160069021713,FALSE,0.512339026120878,7.50190639128565e-10,TRUE
"BLVRA",0.245262129224532,0.53759526800933,FALSE,1.11897065498931,2.86029357709344e-47,TRUE
"CALM1",0.00756839005230061,0.955136415879769,FALSE,0.794567687941067,5.00279457452915e-113,TRUE
"CALM3",0.0786876608417238,0.758538870489062,FALSE,0.901054927833461,1.78329782749051e-13,TRUE
"CALR",0.328606146057558,0.56777023918963,FALSE,1.2687921708051,9.6161794981975e-61,TRUE
"CAP1",0.270140605848716,0.912669796011773,FALSE,0.699392542220314,1.56275301510574e-147,TRUE
